FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,1010.3580422672246/5.8038534021227415/-4679.8832970440735,0.0/349.034648/0.0,B319AS300637
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1007.2477822592268/5.918603310539932/-4680.5664025131555,0.0/349.043367/0.0,B319AS300636
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5382.fbx,1019.4862771316816/5.99260271544479/-4722.156490396752,0.0/349.034648/0.0,B319AS300635
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1016.3947854315888/6.084351906735531/-4722.7123986020315,0.0/349.043367/0.0,B319AS300634
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,994.7840371419545/5.903352150866125/-4724.609127127107,0.0/165.549635/0.0,B319AS300633
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,988.0178017906064/5.797852883296938/-4691.921382987379,0.0/165.549635/0.0,B319AS300632
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5373.fbx,972.0945382394759/5.499854454938772/-4631.349117367659,0.0/166.073232/0.0,B319AS300631
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,975.5787759103455/5.55785311217579/-4631.722408382205,0.0/162.578600/0.0,B319AS300630
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,978.5180306707932/5.666604409164271/-4630.884029472724,0.0/162.559403/0.0,B319AS300629
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5372.fbx,961.3762765208819/5.396352181392253/-4586.978267762199,0.0/158.949601/0.0,B319AS300628
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,964.2710366520396/5.463351616801475/-4585.762935728711,0.0/158.952594/0.0,B319AS300627
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,828.6122841039484/4.0778535699162175/-4287.3408166308445,0.0/161.068382/0.0,B319AS300626
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5391.fbx,815.9412496099783/4.029344027009465/-4172.993115746358,0.0/167.656775/0.0,B319AS300625
